ID,Category,Intent,Canonical_question,Keywords,Response,Language
KB_015,Course,course_beginner_friendly_en,Is course suitable beginners background students?,"course, beginner, background, basic","Yes, the course is suitable for beginners with basic academic background requirements.",English
KB_016,Course,course_industry_scope_en,What is course industry relevance scope?,"course, industry, relevance, scope, jobs",The course has strong industry relevance with updated curriculum and practical exposure for job readiness.,English
KB_017,Course,course_practical_labs_en,Are practical labs included course syllabus?,"course, practical, labs, hands-on","Yes, practical labs are included as part of the course syllabus for hands-on learning.",English
KB_018,Course,change_specialization_en,How to change course specialization option?,"change, specialization, switch",Students can change their specialization option as per institutional rules within a specified time at the start of the academic year.,English
KB_019,Course,semester_system_en,What is course semester system pattern?,"course, semester, system, pattern",The course follows a semester-based system with periodic assessments and end-of-semester exams.,English
KB_020,Course,course_project_work_en,Does course include project work mandatory?,"course, project, mandatory, final year","Yes, project work is mandatory in most courses, especially in the final semester.",English
KB_021,Course,course_instruction_language_en,What is course language medium instruction?,"course, language, medium, instruction",The medium of instruction for the course is usually English unless specified otherwise.,English
KB_022,Course,course_certifications_en,Are there certification exams course included?,"course, certification, exams","Yes, some courses include embedded industry certification exams as part of the curriculum.",English
KB_023,Course,course_upgrade_options_en,What is course upgrade option availability?,"course, upgrade, options",Course upgrade options may be available based on eligibility and institutional policies.,English
KB_024,Course,switch_course_mid_semester_en,Can students switch course mid semester?,"switch, course, mid-semester",Switching courses mid-semester is generally not allowed but may be permitted under special administrative conditions.,English
KB_025,Course,course_accreditation_en,What is course accreditation status details?,"course, accreditation, status, recognition",The course accreditation status is officially recognized by national academic and regulatory bodies.,English
KB_026,Course,course_seat_availability_en,How to check course availability seats?,"course, availability, seats, capacity",You can check course seat availability through the live admission portal or by contacting the admission office.,English
KB_027,Course,course_registration_deadline_en,What is course registration last date?,"course, registration, last date, deadline",The course registration last date is mentioned in the admission notification or the official academic calendar.,English
KB_028,Course,course_bridge_program_en,Are bridge courses available new students?,"bridge course, new students, basics","Yes, bridge courses are available for new students before the semester begins to strengthen basic knowledge.",English
KB_029,Course,course_evaluation_method_en,What is course evaluation method used?,"course, evaluation, method, grading","The course evaluation method includes continuous assignments, internal tests, and final semester examinations.",English
KB_030,Course,course_orientation_en,Is there course orientation program schedule?,"course, orientation, program, new students","Yes, a mandatory orientation program is conducted at the beginning of the course for all new students.",English
KB_031,Assignment,assignment_deadline_en,What is assignment submission deadline policy?,"assignment, submission, deadline, policy",Assignment deadlines are set by individual faculty members. Please check the course portal for specific due dates.,English
KB_032,Assignment,assignment_upload_portal_en,How to upload assignment online portal?,"upload, assignment, online, portal","Log into the student LMS portal, select your subject, and click on the 'Submit Assignment' link to upload your file.",English
KB_033,Assignment,assignment_format_requirements_en,What is assignment format document requirements?,"assignment, format, document, PDF, Word",Assignments should generally be submitted in PDF or DOCX format unless your professor specifies otherwise.,English
KB_034,Assignment,handwritten_assignments_en,Are handwritten assignments allowed submission?,"handwritten, assignment, submission","Handwritten assignments are only allowed if explicitly requested by the faculty. Otherwise, typewritten digital files are required.",English
KB_035,Assignment,late_submission_penalty_en,What is late submission penalty marks?,"late, submission, penalty, marks, deduction","Late submissions typically incur a penalty of 5% to 10% mark deduction per day late, depending on faculty policy.",English
KB_036,Assignment,assignments_per_subject_en,How many assignments per subject required?,"assignments, subject, count, required",Most subjects require 2 to 3 assignments per semester as part of the internal evaluation.,English
KB_037,Assignment,assignment_plagiarism_policy_en,What is plagiarism policy assignment rules?,"plagiarism, policy, assignment, copying",Plagiarism is strictly prohibited. Assignments with a similarity index above 20% may be rejected or heavily penalized.,English
KB_038,Assignment,assignment_resubmission_en,Can assignment be resubmitted corrections?,"resubmit, assignment, corrections",Resubmission is generally not allowed after the deadline unless the faculty explicitly requests revisions.,English
KB_039,Assignment,assignment_grading_criteria_en,What is assignment grading criteria details?,"assignment, grading, criteria, rubric","Assignments are graded based on content accuracy, original research, formatting, and timely submission.",English
KB_040,Assignment,group_assignments_en,Are group assignments allowed collaboration?,"group, assignment, collaboration","Yes, group assignments are allowed if specified by the faculty for specific team-based projects.",English
KB_041,Assignment,assignment_feedback_en,How to check assignment feedback comments?,"check, assignment, feedback, comments",You can view faculty feedback and comments on your assignments directly in the LMS grading section.,English
KB_042,Assignment,assignment_file_size_en,What is assignment file size limit upload?,"assignment, file size, limit, upload",The standard file size limit for uploading assignments to the portal is 20MB.,English
KB_043,Assignment,parent_track_assignments_en,Can parents track assignment submission status?,"parents, track, assignment, status",Parents can track assignment submission status if they have been granted access to the parent portal.,English
KB_044,Assignment,assignment_evaluation_timeline_en,What is assignment evaluation timeline process?,"assignment, evaluation, timeline",Faculty typically evaluate and post assignment grades within two weeks of the submission deadline.,English
KB_045,Assignment,assignment_compulsory_pass_en,Are assignments compulsory pass criteria?,"assignment, compulsory, pass, internal","Yes, passing internal assignments is usually compulsory to be eligible to write the final semester exams.",English
KB_046,Assignment,assignment_extension_en,How to request assignment extension approval?,"request, assignment, extension, approval",Extensions must be requested directly from the faculty member via email at least 48 hours before the deadline.,English
KB_047,Assignment,assignment_topic_selection_en,What is assignment topic selection guidelines?,"assignment, topic, selection",Topics are either assigned directly by the professor or must be chosen from an approved syllabus list.,English
KB_048,Assignment,offline_assignment_submission_en,Can assignment be submitted offline mode?,"assignment, offline, submission, paper",Offline submission is only accepted if the digital portal is down or the faculty has specifically requested hard copies.,English
KB_049,Assignment,assignment_marking_rubric_en,What is assignment marking rubric system?,"assignment, marking, rubric","A marking rubric breaks down the score by introduction, core analysis, conclusion, and referencing formatting.",English
KB_050,Assignment,assignments_final_grade_en,Are assignments included final grade calculation?,"assignment, final grade, calculation","Yes, assignment scores usually contribute to 20% to 30% of your total final grade for the subject.",English
KB_051,Assignment,plagiarism_checking_tool_en,What is assignment plagiarism checking tool?,"assignment, plagiarism, tool, Turnitin",The institution uses Turnitin to automatically check all submitted assignments for plagiarism.,English
KB_052,Assignment,skip_assignment_en,Can students skip assignment submission?,"skip, assignment, submission",Skipping assignments will result in a zero for that component and may cause you to fail the internal assessment criteria.,English
KB_053,Assignment,assignment_revision_policy_en,What is assignment revision correction policy?,"assignment, revision, correction",Revisions are only accepted if the faculty opens a 'resubmission window' for the entire class.,English
KB_054,Assignment,assignment_templates_en,Are assignment templates provided institute?,"assignment, template, format","Yes, official cover page templates and formatting guides are available in the student portal document library.",English
KB_055,Assignment,contact_teacher_assignment_en,How to contact teacher assignment clarification?,"contact, teacher, assignment, clarification",You can contact your teacher for assignment clarifications during their office hours or via the official college email.,English
KB_056,Attendance,minimum_attendance_en,What is minimum attendance percentage required?,"minimum, attendance, percentage, required",Students are required to maintain a minimum of 75% attendance in each subject to be eligible for exams.,English
KB_057,Attendance,check_attendance_status_en,How to check attendance status online?,"check, attendance, status, online",You can view your daily and aggregate attendance status by logging into the student ERP portal.,English
KB_058,Attendance,attendance_shortage_penalty_en,What is attendance shortage penalty rules?,"attendance, shortage, penalty",Students with less than 75% attendance may be detained from appearing in the final semester examinations.,English
KB_059,Attendance,medical_attendance_condonation_en,Can attendance be condoned medical reasons?,"attendance, condoned, medical, leave",Shortages up to 10% can be condoned for valid medical reasons if supported by a certified medical document.,English
KB_060,Attendance,apply_attendance_leave_en,How to apply attendance leave approval?,"apply, attendance, leave, approval",Leave applications must be submitted via the student portal and approved by the Head of Department.,English
KB_061,Attendance,attendance_calculation_method_en,What is attendance calculation method system?,"attendance, calculation, method",Attendance is calculated as the ratio of classes attended to the total number of classes conducted per subject.,English
KB_062,Attendance,online_class_attendance_en,Are online classes attendance counted?,"online, classes, attendance, counted","Yes, logging into online sessions and participating actively is automatically tracked and counted toward your total attendance.",English
KB_063,Attendance,biometric_attendance_en,What is attendance marking system biometric?,"attendance, marking, biometric",Attendance for certain labs and campus entry is tracked using your student ID card or biometric fingerprint scanners.,English
KB_064,Attendance,parents_view_attendance_en,Can parents view attendance report daily?,"parents, view, attendance, report","Yes, parents can view daily attendance reports using their dedicated parent portal login credentials.",Englis
KB_065,Attendance,attendance_warning_policy_en,What is attendance defaulter warning policy?,"attendance, defaulter, warning",Automated warning emails and SMS are sent to students and parents if attendance drops below 80%.,English
KB_066,Attendance,allowed_leaves_count_en,How many leaves allowed attendance criteria?,"leaves, allowed, attendance",You are permitted to miss up to 25% of classes for personal or sick leave without penalty.,English
KB_067,Attendance,attendance_exam_eligibility_en,What is attendance requirement exam eligibility?,"attendance, requirement, exam, eligibility",A strict minimum of 75% attendance overall is required to generate your final exam hall ticket.,English
KB_068,Attendance,attendance_correction_en,Can attendance be corrected errors report?,"attendance, corrected, error","If marked absent by mistake, you must contact the subject faculty within 48 hours to have the error corrected.",English
KB_069,Attendance,attendance_mobile_app_en,What is attendance tracking mobile app?,"attendance, tracking, mobile, app",You can track your attendance on the go using the official college mobile app available on iOS and Android.,English
KB_070,Attendance,late_entry_attendance_en,Are late entries counted attendance present?,"late, entry, attendance, present",Students arriving more than 10 minutes late to a lecture may be marked absent at the faculty's discretion.,English
KB_071,Attendance,attendance_audit_en,What is attendance audit verification process?,"attendance, audit, verification",The academic office conducts monthly attendance audits to identify and counsel students with chronic absenteeism.,English
KB_072,Attendance,transfer_attendance_en,Can attendance be transferred between sections?,"attendance, transfer, section","If you officially change sections or batches, your previous attendance records will be manually transferred by the admin.",English
KB_073,Attendance,holiday_attendance_exemption_en,What is attendance holiday exemption rules?,"attendance, holiday, exemption",Official college holidays and declared non-instructional days are not counted against your total attendance calculation.,English
KB_074,Attendance,download_attendance_report_en,How to download attendance report PDF?,"download, attendance, report, PDF",You can download a PDF of your semester attendance summary from the 'Reports' section of the ERP portal.,English
KB_075,Attendance,attendance_reevaluation_en,What is attendance shortage re-evaluation process?,"attendance, shortage, re-evaluation",You can petition the academic dean for re-evaluation if you believe your medical leaves were not calculated correctly.,English
KB_076,Attendance,practical_class_attendance_en,Are practical classes attendance compulsory?,"practical, class, attendance, compulsory","Yes, 100% attendance is highly recommended for practical labs as missed experiments are difficult to reschedule.",English
KB_077,Attendance,attendance_grace_marks_en,What is attendance grace marks policy?,"attendance, grace, marks","Institutions do not typically award 'grace marks' for attendance, but excellent attendance can favorably impact internal assessments.",English
KB_078,Attendance,attendance_internal_marks_en,How attendance affects internal marks grading?,"attendance, internal, marks, grading",A portion of your internal assessment score (usually 5 marks) is directly tied to your attendance percentage.,English
KB_079,Attendance,attendance_waiver_en,Can attendance be waived special cases?,"attendance, waived, special, cases",Waivers are extremely rare and only granted by the Principal for national-level sports representation or severe emergencies.,English
KB_080,Attendance,internship_attendance_policy_en,What is attendance policy for internships?,"attendance, policy, internship",For mandatory internships a completion certificate from the company serves in place of daily college attendance.,English
KB_081,Exam,exam_rules_policy_en,What is exam rules regulations policy?,"exam, rules, regulations, policy",Students must carry their ID and hall ticket arrive 15 minutes early,English
KB_082,Exam,apply_hall_ticket_en,How to apply exam hall ticket?,"apply, exam, hall ticket","Hall tickets can be downloaded from the exam portal one week before exams, provided you have cleared all fee dues and attendance.",English
KB_083,Exam,exam_revaluation_process_en,What is exam revaluation process steps?,"exam, revaluation, process",You can apply for revaluation via the exam portal within 7 days of result declaration by paying the requisite fee.,English
KB_084,Exam,calculators_in_exam_en,Are calculators allowed exam hall rules?,"calculators, allowed, exam, hall",Non-programmable scientific calculators are allowed only for specific subjects as indicated by the invigilator.,English
KB_085,Exam,exam_malpractice_penalty_en,What is exam malpractice penalty actions?,"exam, malpractice, penalty, cheating",Malpractice or cheating will result in immediate confiscation of the paper and potential suspension or debarment from the university.,English
KB_086,Exam,check_exam_results_en,How to check exam results online?,"check, exam, results, online",Results are published on the official college exam portal. You can check them using your student enrollment number.,English
KB_087,Exam,exam_supplementary_policy_en,What is exam retest supplementary policy?,"exam, retest, supplementary, fail",Students who fail a subject can register for supplementary exams which are usually held in the following semester.,English
KB_088,Exam,parents_exam_center_en,Are parents allowed exam center entry?,"parents, exam, center, entry","No, Parents and guardians are strictly prohibited from entering the academic blocks during examination hours.",English
KB_089,Exam,exam_duration_pattern_en,What is exam duration question pattern?,"exam, duration, question, pattern",Final exams are typically 3 hours long and consist of a mix of multiple-choice short-answer,English
KB_090,Exam,download_exam_timetable_en,How to download exam timetable schedule?,"download, exam, timetable, schedule",The final exam timetable is emailed to all students and can be downloaded as a PDF from the college website notice board.,English
KB_091,Exam,exam_attendance_rules_en,What is exam attendance requirement rules?,"exam, attendance, requirement",You must have at least 75% attendance in a specific subject to be permitted to write its final exam.,English
KB_092,Exam,postpone_exam_medical_en,Can exam be postponed medical emergency?,"exam, postponed, medical, emergency",Individual exams cannot be postponed. If you miss an exam due to a medical emergency you must take the supplementary exam.,English
KB_093,Exam,exam_evaluation_method_en,What is exam answer sheet evaluation method?,"exam, evaluation, method",Answer sheets are evaluated blindly by faculty members using a standardized marking scheme to ensure fairness.,English
KB_094,Exam,open_book_exams_en,Are open book exams allowed subjects?,"open, book, exams, allowed",Open book exams are only conducted for specific advanced analytical subjects. This will be explicitly mentioned in your syllabus.,English
KB_095,Exam,exam_grading_moderation_en,What is exam grading moderation policy?,"exam, grading, moderation",Moderation is occasionally applied by the university exam board if a particular question paper was deemed excessively difficult.,English
KB_096,Exam,exam_improvement_attempt_en,How to apply exam improvement attempt?,"apply, exam, improvement",You can apply for an improvement exam during the next semester's exam cycle by paying the improvement fee online.,English
KB_097,Exam,exam_center_location_en,What is exam center location details?,"exam, center, location",Your exact exam center and room seating arrangement will be printed on your downloaded hall ticket.,English
KB_098,Exam,mobile_phones_in_exam_en,Are mobile phones allowed exam hall?,"mobile, phones, allowed, exam","Mobile phones, smartwatches are strictly Prohibited in exam Halls",English
KB_099,Exam,exam_invigilator_instructions_en,What is exam invigilator rules instructions?,"exam, invigilator, instructions",Students must strictly follow all instructions given by the invigilator. Arguing with an invigilator is considered a disciplinary offense.,English
KB_100,Exam,report_exam_discrepancy_en,How to report exam discrepancies issue?,"report, exam, discrepancies, issue","If there is a misprint or out-of-syllabus question, report it immediately to the invigilator who will file a formal query.",English
KB_101,Exam,supplementary_registration_en,What is exam supplementary registration process?,"exam, supplementary, registration",Registration for supplementary exams opens two weeks after regular results are declared via the student ERP portal.,English
KB_102,Exam,choose_exam_center_en,Can students choose exam center location?,"choose, exam, center, location","No, exam centers are automatically allocated by the university system and cannot be manually changed.",English
KB_103,Exam,exam_pass_criteria_en,What is exam pass criteria marks?,"exam, pass, criteria, marks",The passing criteria is generally 40% in the final exam and an aggregate of 40% combining internal and final marks.,English
KB_104,Exam,online_exam_proctoring_en,Are online exams proctoring rules strict?,"online, exams, proctoring","Yes, online exams use AI proctoring that tracks eye movement, browser tabs, and background noise to prevent cheating.",English
KB_105,Exam,report_exam_malpractice_en,What is exam malpractice reporting procedure?,"report, exam, malpractice","If you witness cheating, you should quietly inform the invigilator or email the Examination Controller anonymously after the exam.",English
KB_106,Grading / Assessment,cgpa_calculation_en,What is grading system CGPA calculation?,"grading, CGPA, calculation",CGPA is calculated by dividing the total credit points earned by the total credits attempted across all semesters.,English
KB_107,Grading / Assessment,internal_marks_calculation_en,How internal marks calculated assessment?,"internal, marks, calculated, assessment","Internal marks are calculated based on a weighted average of assignments, presentations, attendances and mid-term tests",English
KB_108,Grading / Assessment,percentage_conversion_en,What is grading scale percentage conversion?,"grading, scale, percentage, conversion","To convert your CGPA to a percentage, multiply your CGPA by 9.5 (or the specific multiplier set by the university).",English
KB_109,Grading / Assessment,assignments_in_grading_en,Are assignments included grading evaluation?,"assignments, included, grading","Yes, assignments typically account for 20% to 30% of your total subject grade under the internal assessment category.",English
KB_110,Grading / Assessment,grading_transparency_en,What is grading transparency policy rules?,"grading, transparency, policy",The college enforces strict transparency. Students have the right to view their evaluated internal test papers before final marks are uploaded.,English
KB_111,Grading / Assessment,improve_grades_en,How to improve grades performance strategy?,"improve, grades, performance",To improve grades ensure timely assignment submission,English
KB_112,Grading / Assessment,grading_weightage_en,What is grading weightage exam assignment?,"grading, weightage, exam, assignment","Typically, the weightage is 70% for the final semester exam and 30% for continuous internal assessments.",English
KB_113,Grading / Assessment,practical_marks_grading_en,Are practical marks included grading system?,"practical, marks, included, grading","Yes, subjects with a lab component have a separate practical grading weightage that contributes to the final subject CGPA.",English
KB_114,Grading / Assessment,grading_revaluation_policy_en,What is grading revaluation policy process?,"grading, revaluation, policy","If you are unsatisfied with your final grade, you can apply for a revaluation through the portal by paying the re-checking fee.",English
KB_115,Grading / Assessment,check_grade_card_en,How to check grade card online portal?,"check, grade, card, online",You can download your digital grade card at the end of every semester from the 'Academics' tab in the student portal.,English
KB_116,Grading / Assessment,distinction_criteria_en,What is grading distinction criteria marks?,"grading, distinction, criteria",A CGPA of 8.0 or above (or 75%+) without any history of backlogs is generally awarded a 'First Class with Distinction'.,English
KB_117,Grading / Assessment,grades_affected_attendance_en,Are grades affected attendance shortage?,"grades, affected, attendance, shortage","Yes, extreme attendance shortages can result in a 'Detained' grade, automatically failing you for that specific subject.",English
KB_118,Grading / Assessment,grading_audit_en,What is grading audit verification method?,"grading, audit, verification",All final grades are audited by a secondary faculty committee before being officially published to ensure mathematical accuracy.,English
KB_119,Grading / Assessment,convert_cgpa_percentage_en,How to convert CGPA percentage marks?,"convert, CGPA, percentage, marks","For most transcripts, the conversion formula is: Percentage = (CGPA * 10) - 7.5. Check the back of your official mark sheet for the exact formula.",English
KB_120,Grading / Assessment,grading_moderation_en,What is grading moderation adjustment rules?,"grading, moderation, adjustment",Moderation is applied universally by the examination board only if the overall class average falls significantly below expected historic baselines.,English
KB_121,Grading / Assessment,bonus_marks_en,Are bonus marks added grading system?,"bonus, marks, grading, system",Bonus marks are exceptionally rare but may be awarded for winning national-level academic or hackathon competitions.,English
KB_122,Grading / Assessment,grading_failure_criteria_en,What is grading failure criteria subjects?,"grading, failure, criteria",Scoring an 'F' grade (usually below 40%) in either the internal assessment or the final exam results in failing the subject.,English
KB_123,Grading / Assessment,grade_correction_en,How to request grade correction issue?,"request, grade, correction","If there is a calculation error on your grade card, submit a physical application to the Registrar's office within 14 days of results.",English
KB_124,Grading / Assessment,grading_improvement_attempts_en,What is grading improvement policy attempts?,"grading, improvement, attempts",Students are usually allowed one attempt to improve their grade in a specific subject during the supplementary exam cycle.,English
KB_125,Grading / Assessment,grades_shared_parents_en,Are grades shared parents access portal?,"grades, shared, parents, portal","Yes, parents can view the finalized semester grade cards by logging into the university parent portal.",English
KB_126,Timetable / Schedule,check_class_timetable_en,How to check class timetable schedule?,"check, class, timetable, schedule",Your personalized class timetable is available on the dashboard of your student ERP portal under 'My Schedule'.,English
KB_127,Timetable / Schedule,timetable_update_notification_en,What is timetable update notification system?,"timetable, update, notification",Any sudden changes or faculty leaves affecting the timetable will be notified via SMS and email alerts.,English
KB_128,Timetable / Schedule,timetable_changes_informed_en,Are timetable changes informed students?,"timetable, changes, informed","Yes, temporary changes (like a rescheduled class) are usually communicated by the class representative or via the student portal.",English
KB_129,Timetable / Schedule,lab_schedule_timing_en,What is lab schedule timing details?,"lab, schedule, timing",Lab sessions usually run in continuous 2-hour or 3-hour blocks. Your specific lab timings are indicated in a different color on your timetable.,English
KB_130,Timetable / Schedule,download_timetable_pdf_en,How to download timetable PDF file?,"download, timetable, PDF",Click the 'Export to PDF' button located at the top right corner of the timetable view on your student portal.,English
KB_131,Timetable / Schedule,weekend_class_schedule_en,What is weekend class schedule availability?,"weekend, class, schedule",Regular undergraduate courses do not have weekend classes. Part-time or executive master's programs operate on Saturdays and Sundays.,English
KB_132,Timetable / Schedule,extra_classes_holidays_en,Are extra classes scheduled holidays?,"extra, classes, scheduled, holidays","Extra classes are generally avoided on public holidays, but special remedial or revision sessions may be scheduled with prior notice.",English
KB_133,Timetable / Schedule,timetable_clash_resolution_en,What is timetable clash resolution process?,"timetable, clash, resolution","If two of your elective courses clash in the timetable, report it immediately to your academic advisor to manually adjust your batch.",English
KB_134,Timetable / Schedule,view_faculty_timetable_en,How to view faculty timetable allocation?,"view, faculty, timetable","Faculty timetables are not public. However, their available 'Office Hours' for student meetings are posted outside their cabins.",English
KB_135,Timetable / Schedule,class_duration_period_en,What is class duration period timing?,"class, duration, period, timing","A standard theory lecture period is 50 to 60 minutes long, depending on the campus schedule.",English
KB_136,Timetable / Schedule,online_class_timings_en,Are online class timings different schedule?,"online, class, timings, different",Online class timings generally mirror the offline timetable unless the university switches to a specific remote-learning schedule.,English
KB_137,Timetable / Schedule,semester_timetable_plan_en,What is timetable semester wise plan?,"timetable, semester, plan","A new, updated timetable is generated and distributed at the beginning of every semester based on the subjects offered.",English
KB_138,Timetable / Schedule,request_timetable_change_en,How to request timetable change approval?,"request, timetable, change","Individual students cannot request timetable changes. However, if an entire batch requests a timing shift, the class rep can petition the HOD.",English
KB_139,Timetable / Schedule,exam_timetable_announcement_en,What is exam timetable announcement date?,"exam, timetable, announcement",The final exam timetable is typically announced and published 3 to 4 weeks before the first day of examinations.,English
KB_140,Timetable / Schedule,remedial_classes_schedule_en,Are remedial classes scheduled extra sessions?,"remedial, classes, scheduled","Yes, remedial classes for students needing extra help are usually scheduled after regular hours (e.g. 4 PM to 5 PM).",English
KB_141,Timetable / Schedule,timetable_mobile_app_en,What is timetable notification mobile app?,"timetable, notification, mobile, app",You can sync your timetable directly to your phone's calendar using the official college mobile app.,English
KB_142,Timetable / Schedule,track_daily_schedule_en,How to track daily class schedule updates?,"track, daily, class, schedule",Log into the student portal every morning; the 'Today's View' widget will show any real-time cancellations or room changes.,English
KB_143,Timetable / Schedule,holiday_timetable_adjustment_en,What is holiday timetable adjustment rules?,"holiday, timetable, adjustment","If a working day is lost to an unexpected holiday, the college may declare a Saturday as a working day following that specific day's timetable.",English
KB_144,Timetable / Schedule,timetable_conflicts_electives_en,Are timetable conflicts allowed subjects?,"timetable, conflicts, allowed","No, you cannot register for two elective subjects that are scheduled during the exact same time slot.",English
KB_145,Timetable / Schedule,timetable_flexibility_en,What is timetable flexibility policy rules?,"timetable, flexibility, policy",Timetables are strictly fixed by the administration to optimize room usage and cannot be treated flexibly by students.,English
KB_146,Faculty / Contact,contact_faculty_email_en,How to contact faculty email address?,"contact, faculty, email",You can find the official email addresses of all faculty members in the 'Directory' section of the college website.,English
KB_147,Faculty / Contact,faculty_office_hours_en,What is faculty office hours schedule?,"faculty, office, hours",Faculty members dedicate 3-4 specific 'Office Hours' per week for student doubts. These timings are listed in the course syllabus.,English
KB_148,Faculty / Contact,meet_teacher_appointment_en,How to meet teacher appointment booking?,"meet, teacher, appointment, booking",It is best practice to email your professor a day in advance to book a 15-minute appointment during their designated office hours.,English
KB_149,Faculty / Contact,faculty_phone_number_en,What is faculty contact phone number?,"faculty, contact, phone, number",Personal phone numbers of faculty are strictly private. All communication must happen via official college email or the LMS portal.,English
KB_150,Faculty / Contact,parents_meet_faculty_en,Are parents allowed meet faculty discussion?,"parents, meet, faculty","Parents can meet with faculty or academic advisors by prior appointment, especially during scheduled Parent-Teacher meetings.",English
KB_151,Faculty / Contact,faculty_feedback_process_en,What is faculty feedback submission process?,"faculty, feedback, submission",Anonymous faculty feedback forms are enabled on the student portal at the end of every semester before final exams.,English
KB_152,Faculty / Contact,report_faculty_complaint_en,How to report faculty complaint issue?,"report, faculty, complaint, issue",Formal complaints regarding teaching or behavior can be submitted confidentially to the Head of Department or the Dean of Students.,English
KB_153,Faculty / Contact,mentor_allocation_support_en,What is mentor allocation student support?,"mentor, allocation, student, support",Every student is assigned a faculty mentor in their first year who provides academic guidance and career counseling throughout the degree.,English
KB_154,Faculty / Contact,faculty_online_consultation_en,Are faculty available online consultation?,"faculty, online, consultation","Yes, many faculty members offer Zoom or Google Meet links for office hours, especially for students living off-campus.",English
KB_155,Faculty / Contact,faculty_response_time_en,What is faculty response time communication?,"faculty, response, time",Faculty members are expected to reply to student emails within 24 to 48 business hours.,English
KB_156,Faculty / Contact,contact_department_head_en,How to contact department head office?,"contact, department, head, HOD",You can contact the HOD via their administrative assistant in the department's main office or via their official HOD email address.,English
KB_157,Faculty / Contact,faculty_advisory_role_en,What is faculty advisory role responsibilities?,"faculty, advisory, role","Advisors help you select elective courses, manage credit overloads and provide references for internships or master's programs.",English
KB_158,Faculty / Contact,faculty_meetings_parents_en,Are faculty meetings scheduled parents?,"faculty, meetings, scheduled, parents",Official Parent-Teacher meetings are scheduled once a semester for students who are facing academic probation or severe attendance shortages.,English
KB_159,Faculty / Contact,faculty_evaluation_system_en,What is faculty evaluation feedback system?,"faculty, evaluation, feedback",The college uses a 5-point Likert scale evaluation system where students rate the faculty on clarity punctuality and subject knowledge.,English
KB_160,Faculty / Contact,request_recommendation_letter_en,How to request faculty recommendation letter?,"request, recommendation, letter, LOR",Email your professor with your resume and a polite request at least one month before your application deadline to ask for an LOR.,English
KB_161,Academic Regulations,academic_handbook_en,What are academic rules regulations handbook?,"academic, rules, regulations, handbook",The complete academic rulebook is provided to all students during orientation and is available as a PDF on the college portal.,English
KB_162,Academic Regulations,promotion_policy_semester_en,What is promotion policy next semester?,"promotion, policy, next semester","To be promoted to the next academic year, a student must generally clear at least 50% of the total credits from the previous year.",English
KB_163,Academic Regulations,semester_break_leave_en,Are students allowed semester break leave?,"semester, break, leave",Students are only allowed long leaves during the official summer and winter semester breaks.,English
KB_164,Academic Regulations,academic_misconduct_policy_en,What is academic misconduct policy rules?,"academic, misconduct, policy",Misconduct includes cheating forgery and vandalism. Violations face severe disciplinary action including possible expulsion.,English
KB_165,Academic Regulations,course_withdrawal_process_en,How to apply course withdrawal process?,"course, withdrawal, process",You can withdraw from an elective course without penalty within the first two weeks of the semester by submitting a withdrawal form.,English
KB_166,Academic Regulations,academic_probation_criteria_en,What is academic probation criteria details?,"academic, probation, criteria",Students whose CGPA drops below 5.0 are placed on academic probation and must meet regularly with their advisor.,English
